Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal
Nov-21,"$782,480","$1,300,000","$432,500","$435,000","$465,320","$876,000","$384,380","$665,000","$385,000","$360,000","$450,750","$283,750","$336,940","$333,500","$335,000","$264,750","$769,500","$392,500","$1,535,000","$499,500","$522,500","$375,000","$840,000","$830,000","$811,600","$561,250","$1,150,000","$650,000","$380,000","$586,900","$515,000","$800,000","$440,000","$847,750","$1,900,000","$495,000","$775,060","$2,222,500","$1,003,000","$1,692,500","$1,260,000","$375,000","$299,000","$593,000","$775,000","$435,000","$425,000","$325,000","$293,500","$335,000","$399,000","$858,500","$585,000","$415,000",,"$620,000","$720,000","$899,000","$452,000","$380,000","$529,000","$1,300,000","$750,000"
Dec-21,"$797,150","$1,200,000","$399,000","$439,500","$489,000","$830,000","$291,000","$620,000","$395,000","$345,000","$450,280","$346,704","$350,000","$330,000","$341,250","$292,000","$826,500","$375,000","$1,510,000","$390,000","$564,950","$375,000","$972,500","$871,000","$1,050,000","$520,000","$1,182,500","$655,000","$420,000","$586,000","$515,000","$790,000","$460,000","$836,700","$1,690,000","$490,000","$821,000","$1,945,000","$937,500","$1,740,000","$1,200,450","$371,000","$273,000","$580,000","$794,000","$440,000","$411,000","$322,450","$335,000","$320,000","$369,500","$850,000","$609,240","$410,000",,"$612,750","$720,000","$900,000","$450,000","$379,000","$540,000","$1,200,000","$749,900"
Jan-22,"$766,250","$1,250,000","$400,000","$456,000","$467,500","$829,000","$372,500","$607,500","$395,000","$332,500","$425,000","$335,000","$367,000","$322,500","$349,900","$259,000","$800,960","$394,000","$1,466,500","$350,000","$508,500","$387,380","$950,000","$875,000","$862,500","$550,000","$1,195,000","$670,000","$460,000","$590,000","$524,000","$842,500","$450,000","$875,000","$1,630,000","$499,950","$851,500","$2,000,000","$912,500","$1,716,000","$1,257,500","$375,000","$296,000","$583,500","$799,000","$450,000","$415,000","$359,000","$354,000","$333,000","$386,750","$850,000","$542,500","$402,500",,"$600,000","$700,000","$920,400","$455,000","$380,000","$539,000","$1,171,000","$740,000"
Feb-22,"$772,180","$1,350,000","$449,000","$426,500","$510,000","$935,000","$390,000","$730,000","$405,000","$412,500","$452,500","$330,000","$370,000","$327,000","$360,000","$239,000","$773,490","$400,000","$1,676,000","$446,250","$509,500","$390,000","$992,500","$885,000","$1,005,000","$547,500","$1,260,000","$675,000","$339,000","$605,030","$541,500","$860,000","$450,000","$888,000","$1,900,000","$505,500","$830,500","$2,100,000","$1,050,000","$1,820,000","$1,380,000","$375,000","$340,000","$605,000","$815,000","$452,400","$420,000","$311,250","$250,000","$338,000","$433,500","$887,500","$666,420","$450,000",,"$640,000","$725,000","$912,250","$465,000","$375,000","$551,000","$1,300,000","$760,000"
Mar-22,"$851,130","$1,430,000","$440,000","$465,000","$492,000","$965,900","$398,000","$750,000","$415,000","$320,000","$430,000","$330,000","$369,750","$325,000","$370,000","$243,000","$781,050","$430,000","$1,720,000","$530,000","$509,000","$385,000","$1,100,000","$911,000","$965,000","$559,000","$1,305,000","$701,730","$391,500","$620,000","$560,000","$835,000","$475,000","$950,000","$2,060,000","$550,000","$903,000","$2,280,000","$1,300,000","$1,950,000","$1,600,000","$390,000","$308,000","$610,000","$829,000","$470,500","$460,000","$401,880","$370,000","$360,980","$450,000","$914,000","$657,000","$432,500",,"$660,000","$770,000","$1,050,000","$495,000","$395,000","$580,000","$1,408,000","$802,500"
Apr-22,"$877,390","$1,500,000","$445,000","$467,250","$504,500","$1,050,000","$357,500","$711,000","$425,000","$281,260","$464,300","$335,000","$385,000","$360,000","$321,000","$245,000","$801,680","$418,000","$2,125,000","$423,000","$545,000","$395,000","$2,362,500","$903,500","$975,000","$617,000","$1,325,000","$717,000","$350,000","$630,000","$570,000","$860,000","$495,000","$975,000","$2,057,500","$555,000","$890,000","$2,401,000","$1,200,000","$1,970,000","$1,410,000","$389,000","$322,250","$640,000","$870,000","$485,000","$444,000","$350,000","$304,250","$370,000","$437,500","$955,000","$633,000","$430,000",,"$699,000","$800,000","$1,050,000","$500,000","$400,000","$580,000","$1,500,000","$837,000"
May-22,"$893,200","$1,513,060","$445,000","$500,000","$525,000","$999,000","$320,000","$730,000","$420,000","$405,000","$458,500","$375,000","$385,000","$381,500","$360,000","$302,500","$798,720","$430,000","$1,985,000","$465,000","$595,000","$414,250","$870,000","$900,500","$1,048,000","$560,500","$1,295,000","$735,000","$504,000","$650,000","$575,000","$840,000","$490,000","$970,000","$2,015,000","$580,000","$931,000","$2,231,500","$900,000","$1,927,500","$1,312,500","$406,000","$368,000","$620,000","$874,500","$477,000","$450,000","$377,500","$300,000","$370,000","$449,000","$915,000","$655,000","$442,500",,"$675,000","$805,000","$995,000","$510,000","$425,000","$596,000","$1,465,000","$845,000"
Jun-22,"$858,000","$1,400,000","$418,250","$445,000","$495,000","$925,000","$400,690","$715,000","$425,000","$325,000","$435,000","$313,000","$380,000","$327,000","$365,000","$260,000","$860,230","$421,000","$1,850,000","$470,000","$582,000","$400,000","$788,500","$854,000","$950,000","$590,000","$1,265,000","$718,000","$400,000","$645,000","$560,000","$854,000","$490,000","$950,000","$1,900,000","$580,000","$905,000","$2,155,000","$1,250,000","$1,820,000","$1,325,500","$395,000","$390,500","$625,000","$864,000","$476,440","$451,500","$341,000","$324,500","$378,000","$430,000","$930,000","$665,000","$455,000",,"$655,000","$800,000","$980,000","$500,000","$400,000","$585,000","$1,360,000","$830,000"
Jul-22,"$830,870","$1,325,000","$392,450","$450,000","$459,900","$880,000","$376,000","$650,000","$407,000","$360,000","$480,000","$369,250","$362,900","$350,000","$356,000","$260,000","$846,320","$433,000","$1,750,000","$601,000","$667,000","$410,000","$815,000","$924,000","$1,067,500","$595,000","$1,231,000","$710,000","$462,500","$625,000","$550,000","$825,000","$490,000","$930,000","$1,700,000","$545,000","$895,500","$1,965,000","$902,500","$1,740,000","$1,250,000","$389,000","$339,000","$600,000","$815,000","$467,000","$437,100","$325,000","$325,000","$370,000","$435,000","$920,000","$595,000","$445,000",,"$643,250","$780,000","$950,000","$485,000","$405,000","$575,000","$1,258,500","$808,000"
Aug-22,"$834,740","$1,220,000","$449,900","$441,000","$464,950","$850,000","$378,960","$627,000","$405,000","$327,500","$465,000","$343,500","$373,250","$321,750","$330,000","$199,000","$854,960","$400,000","$1,674,500","$450,000","$502,500","$385,000","$797,500","$842,500","$1,150,000","$580,000","$1,200,000","$649,000","$380,000","$620,000","$535,000","$755,000","$472,750","$886,250","$1,635,000","$550,000","$868,500","$1,950,000","$1,112,500","$1,650,000","$1,300,000","$370,000","$360,000","$610,000","$834,000","$460,000","$455,000","$301,000","$256,000","$350,000","$407,500","$884,000","$631,000","$425,000",,"$620,000","$765,000","$950,000","$470,000","$380,000","$565,500","$1,200,000","$795,000"
